year,Assassination,Hostage Taking (Kidnapping),Bombing/Explosion,Facility/Infrastructure Attack,Armed Assault,Hijacking,Unknown,Unarmed Assault,Hostage Taking (Barricade Incident)
1970,22,38,333,174,61,11.0,6,3.0,3.0
1971,70,20,239,88,44,6.0,3,0.0,1.0
1972,265,16,188,19,63,12.0,1,0.0,4.0
1973,164,43,149,36,62,8.0,1,3.0,7.0
1974,158,37,285,42,46,3.0,1,4.0,5.0
1975,181,27,370,64,81,1.0,3,0.0,13.0
1976,204,45,419,113,124,4.0,5,3.0,6.0
1977,146,67,635,182,255,7.0,14,0.0,13.0
1978,263,97,644,181,241,0.0,52,5.0,43.0
1979,526,146,1058,197,447,9.0,196,7.0,76.0
1980,618,140,997,169,574,14.0,98,2.0,50.0
1981,405,122,1082,151,697,18.0,74,3.0,34.0
1986,371,96,1506,141,592,4.0,117,6.0,27.0
1982,361,105,1125,148,665,8.0,79,3.0,50.0
1983,360,124,1246,142,852,8.0,110,2.0,26.0
1984,443,77,1776,162,823,21.0,157,7.0,29.0
1985,311,116,1482,138,659,15.0,134,5.0,55.0
1987,495,99,1477,120,798,2.0,163,3.0,26.0
1988,821,109,1649,151,922,9.0,39,5.0,16.0
1989,980,130,1797,240,1121,13.0,17,8.0,18.0
1990,877,168,1731,190,876,8.0,13,7.0,17.0
1991,730,222,1988,353,1271,25.0,64,14.0,16.0
1992,1111,142,1738,472,1327,24.0,187,48.0,22.0
1994,771,191,1153,189,816,37.0,204,61.0,34.0
1995,729,141,791,296,740,30.0,232,108.0,14.0
1996,478,155,1219,216,638,23.0,291,23.0,15.0
1997,420,299,1123,137,826,16.0,348,25.0,3.0
1998,24,43,504,58,264,3.0,23,15.0,0.0
1999,61,114,652,114,367,6.0,39,36.0,6.0
2000,103,125,904,111,493,7.0,43,26.0,2.0
2001,127,145,800,148,582,14.0,45,41.0,4.0
2002,73,79,720,49,367,6.0,25,10.0,4.0
2003,88,46,689,88,315,3.0,27,20.0,2.0
2004,104,77,659,33,259,1.0,26,4.0,3.0
2005,225,120,1064,50,512,2.0,38,6.0,0.0
2006,140,202,1506,107,739,3.0,39,15.0,7.0
2007,140,223,1866,115,849,7.0,30,6.0,6.0
2008,219,388,2662,285,1093,16.0,106,31.0,5.0
2009,228,279,2568,348,1115,23.0,137,19.0,4.0
2010,360,391,2510,293,1114,13.0,116,21.0,8.0
2011,342,363,2590,242,1395,9.0,113,20.0,2.0
2012,461,353,5083,305,2085,5.0,182,30.0,18.0
2013,853,634,6685,564,2962,17.0,256,39.0,26.0
2014,920,1397,8799,783,4071,49.0,784,54.0,46.0
2015,927,1197,7662,705,3368,38.0,891,95.0,82.0
2016,821,1132,7108,696,2733,43.0,922,71.0,61.0
2017,816,878,5024,751,2365,58.0,825,101.0,82.0
