group,successful,unsuccessful
Unknown,900,120
Taliban,3016,272
Islamic State of Iraq and the Levant (ISIL),1721,303
Shining Path (SL),2247,171
Farabundo Marti National Liberation Front (FMLN),1774,104
Al-Shabaab,3317,34
New People's Army (NPA),896,166
Irish Republican Army (IRA),2282,389
Revolutionary Armed Forces of Colombia (FARC),4759,854
Boko Haram,2175,135
Kurdistan Workers' Party (PKK),1530,76
Basque Fatherland and Freedom (ETA),1309,321
Communist Party of India - Maoist (CPI-Maoist),1470,91
Maoists,2457,315
Liberation Tigers of Tamil Eelam (LTTE),903,222
National Liberation Army of Colombia (ELN),2302,185
Tehrik-i-Taliban Pakistan (TTP),4337,218
Palestinians,6680,798
Houthi extremists (Ansar Allah),1267,84
Al-Qaida in the Arabian Peninsula (AQAP),71748,11034
