year,Iraq,Pakistan,Afghanistan,India,Colombia,Philippines,Peru,El Salvador,UK,Turkey
1970,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,12,12.0
1971,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,81,35.0
1972,0.0,0.0,0.0,1.0,2.0,7.0,0.0,2.0,292,9.0
1973,0.0,0.0,1.0,0.0,6.0,0.0,3.0,1.0,189,0.0
1974,0.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,203,1.0
1975,1.0,2.0,0.0,1.0,10.0,4.0,2.0,3.0,194,10.0
1976,3.0,3.0,0.0,1.0,22.0,10.0,0.0,13.0,194,35.0
1977,0.0,0.0,0.0,1.0,80.0,2.0,4.0,6.0,140,189.0
1978,0.0,2.0,0.0,0.0,158.0,36.0,4.0,91.0,100,52.0
1979,2.0,7.0,3.0,20.0,140.0,50.0,3.0,326.0,239,141.0
1980,6.0,1.0,0.0,10.0,141.0,60.0,64.0,710.0,134,95.0
1981,3.0,4.0,0.0,16.0,172.0,31.0,149.0,664.0,142,8.0
1982,5.0,4.0,0.0,13.0,222.0,38.0,350.0,537.0,95,5.0
1983,3.0,9.0,0.0,47.0,234.0,16.0,536.0,371.0,177,5.0
1984,2.0,3.0,0.0,159.0,237.0,43.0,592.0,273.0,145,19.0
1985,0.0,2.0,0.0,39.0,382.0,124.0,352.0,436.0,67,2.0
1986,0.0,24.0,0.0,96.0,307.0,80.0,568.0,175.0,95,7.0
1987,3.0,60.0,1.0,166.0,337.0,160.0,627.0,234.0,117,43.0
1988,4.0,44.0,11.0,358.0,427.0,210.0,355.0,367.0,181,42.0
1989,4.0,45.0,10.0,324.0,492.0,156.0,630.0,356.0,163,114.0
1990,0.0,87.0,2.0,349.0,349.0,320.0,495.0,184.0,147,195.0
1991,3.0,150.0,30.0,339.0,420.0,162.0,658.0,500.0,262,293.0
1992,35.0,85.0,36.0,237.0,523.0,162.0,383.0,29.0,274,514.0
1994,18.0,154.0,9.0,107.0,201.0,72.0,91.0,21.0,256,300.0
1995,17.0,666.0,6.0,179.0,123.0,63.0,44.0,9.0,22,133.0
1996,12.0,180.0,4.0,213.0,409.0,61.0,42.0,7.0,36,54.0
1997,21.0,206.0,1.0,193.0,598.0,57.0,58.0,2.0,78,44.0
1998,7.0,37.0,1.0,61.0,94.0,18.0,5.0,0.0,63,23.0
1999,12.0,39.0,9.0,112.0,116.0,31.0,5.0,0.0,76,109.0
2000,10.0,49.0,14.0,180.0,137.0,132.0,3.0,0.0,61,35.0
2001,3.0,53.0,14.0,234.0,207.0,50.0,3.0,0.0,94,19.0
2002,6.0,46.0,38.0,184.0,150.0,48.0,2.0,0.0,21,5.0
2003,102.0,29.0,100.0,196.0,98.0,107.0,1.0,0.0,23,19.0
2004,323.0,67.0,88.0,108.0,37.0,32.0,3.0,0.0,5,27.0
2005,617.0,77.0,155.0,146.0,42.0,25.0,2.0,0.0,29,41.0
2006,838.0,164.0,282.0,167.0,43.0,58.0,1.0,0.0,6,43.0
2007,1047.0,260.0,341.0,149.0,30.0,65.0,4.0,0.0,20,29.0
2008,1106.0,568.0,414.0,534.0,133.0,276.0,1.0,0.0,39,32.0
2009,1137.0,667.0,503.0,672.0,139.0,229.0,4.0,0.0,23,13.0
2010,1179.0,713.0,542.0,663.0,136.0,205.0,0.0,0.0,57,20.0
2011,1308.0,1012.0,421.0,645.0,94.0,151.0,0.0,0.0,47,51.0
2012,1437.0,1654.0,1469.0,611.0,115.0,249.0,6.0,0.0,55,188.0
2013,2852.0,2215.0,1443.0,694.0,149.0,651.0,10.0,0.0,137,42.0
2014,3933.0,2151.0,1824.0,860.0,231.0,597.0,12.0,0.0,103,94.0
2015,2751.0,1243.0,1928.0,884.0,136.0,721.0,10.0,0.0,114,422.0
2016,3360.0,864.0,1617.0,1025.0,109.0,632.0,3.0,0.0,105,542.0
2017,2466.0,719.0,1414.0,966.0,117.0,692.0,8.0,0.0,122,181.0
